"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"401","Chuyên đề Doanh nghiệp (CNCTM)","SEMI323525",NULL,NULL,NULL,NULL,NULL
"402","Thiết kế, chế tạo khuôn mẫu","MOLD331225",NULL,NULL,NULL,NULL,NULL
"403","Thực tập nguội","MHAP110127",NULL,NULL,NULL,NULL,NULL
"404","Thực tập Kỹ thuật Hàn","WEPR210430",NULL,NULL,NULL,NULL,NULL
"405","Thực tập Cơ khí 1","MEPR240227",NULL,NULL,NULL,NULL,NULL
"406","Thực tập Cơ khí 2","MEPR330327",NULL,NULL,NULL,NULL,NULL
"407","Thực tập CNC","PCNC322125",NULL,NULL,NULL,NULL,NULL
"408","Thực tập Công nghệ CAD/CAM-CNC","PCCC321825",NULL,NULL,NULL,NULL,NULL
"409","Thực tập Tốt nghiệp (CNCTM)","FAIN443825",NULL,NULL,NULL,NULL,NULL
"410","Khóa luận tốt nghiệp (CNCTM)","GRAT473125",NULL,NULL,NULL,NULL,NULL
"411","Chuyên đề tốt nghiệp 1 (CNCTM)","STOG433225",NULL,NULL,NULL,NULL,NULL
"412","Chuyên đề tốt nghiệp 2 (CNCTM)","STOG423325",NULL,NULL,NULL,NULL,NULL
"413","Chuyên đề tốt nghiệp 3 (CNCTM)","STOG423425",NULL,NULL,NULL,NULL,NULL
"414","Các phương pháp đo lường cơ khí hiện đại","MMMM323725",NULL,NULL,NULL,NULL,NULL
"415","Trí tuệ nhân tạo","ARIN337629",NULL,NULL,NULL,NULL,NULL
"416","Thí nghiệm Công nghệ tạo mẫu nhanh & Thiết kế ngược","ERED314124",NULL,NULL,NULL,NULL,NULL
"417","Lập trình ứng dụng trong kỹ thuật","COPR231329",NULL,NULL,NULL,NULL,NULL
"418","Cảm biến và cơ cấu chấp hành","SEAC225929",NULL,NULL,NULL,NULL,NULL
"419","Nhập môn Công nghệ Kỹ thuật Cơ Điện Tử","INME130129",NULL,NULL,NULL,NULL,NULL
"420","Đồ án Truyền động cơ khí"," MDDP310523",NULL,NULL,NULL,NULL,NULL
